

 tanh_sinh
===============
 float
---------------
 k_max = 3.48552
 h     = 0.0544612
        492136.402991679        4351404.38551086
        1737394.93826655         16748774.529778
        6873801.75281186        72253258.4042143
        30796382.3832007          352992827.5765
        158028014.894108         1975290888.5781
        940315129.388632        12818059007.3023
         6576237626.7727        97767817856.3127
        54857613980.4593        889487426953.331
        554653120319.436        9808923692415.18
        6917239830440.06         133425933599402
         108458139360274    2.28184392166209e+15
    2.18299465269488e+15    5.00956785215952e+16
    5.76989920221054e+16    1.44426163313945e+18
    2.05290015185601e+18    5.60506670638412e+19
    1.01015280204839e+20    3.00842894167981e+21
     7.0798969181775e+21    2.29997469343433e+23
     7.2987854659458e+23    2.58638563004515e+25
    1.14627575578989e+26    4.43078794785153e+27
    2.84942078059532e+28    1.20143375022411e+30
    1.16889619933875e+31    5.37616291266173e+32
    8.28163299452083e+33    4.15496379884002e+35
    1.06497873115327e+37    5.82838585567493e+38
    2.62405931095837e+40    1.56652815435196e+42
    1.31423646394899e+44    8.55847113722441e+45
    1.42702179944581e+48    1.01370638417121e+50
    3.60393914084473e+52    2.79266325880894e+54
    2.28570399259223e+57    1.93206265779283e+59
     3.9581257218711e+62    3.64965121246077e+64
     2.0503022053079e+68     2.0622466233615e+70
    3.50943025235043e+74    3.85053085769987e+76
    2.21260922528727e+81    2.64819679201899e+83
    5.78448996508563e+88    7.55218085824489e+90
 long double
